Source,Author,Title,Description,URL,Published At,Content
TechCrunch,Kirsten Korosec,Uber Freight expands app to Canada,"Uber Freight, the Uber business unit that helps truck drivers connect with shipping companies, said Wednesday it s launching the app in Canada as part of its global expansion plan. The move into Canada will give Uber Freight access to the country s $68 billio ",http://techcrunch.com/2019/10/30/uber-freight-expands-app-to-canada/,2019-10-30T11:37:16Z,"Uber Freight, the Uber business unit that helps truck drivers connect with shipping companies, said Wednesday it s launching the app in Canada as part of its global expansion plan.;The move into Canada will give Uber Freight access to the country s $68 billi  [+2181 chars]"
TechCrunch,Walter Thompson,"Corporate, public investments spur interest in Pacific Northwest startups","Why are businesses and government organizations investing so much into the the strip of land down the West Coast from Vancouver, Canada to Portland, Oregon?",http://techcrunch.com/2019/11/07/corporate-public-investments-spur-interest-in-pacific-northwest-startups/,2019-11-07T22:50:09Z,"Cities have always been Americas centers of power, driving the economy forward through competition. But now, theyre ceasing to lead the countrys innovation.;As jobs and talent have clustered, expertise has spilled over urban boundaries. In locations like the  [+6407 chars]"
The New York Times,Christopher Clarey,Spain Beats Canada to Win Davis Cup at Home,"Rafael Nadal helped the Spaniards defeat Canada, 2-0, to win the cup in its much-discussed new format.",https://www.nytimes.com/2019/11/24/sports/tennis/spain-canada-davis-cup-nadal.html,2019-11-25T00:07:43Z,"But Nadal faced down plenty of challenges, including 4:30 a.m. bedtimes after late-finishing matches.;Its always difficult to speak about Rafa, L pez said. To be honest, there are things that you cannot describe with words, because the things that he was abl  [+1482 chars]"
Mashable,Saavon Smalls,"Disney+ ranks No. 1 in App Store in U.S., Canada","Occurring just a day after the app launched, Disney+ now has at least 10 million accounts subscribed. Read more... More about Tech, Mashable Video, Streaming Service, Tiktok, and Disney",https://mashable.com/video/disney-plus-one-app-store/,2019-11-14T20:05:59Z,NaN
CNN,"Paul P. Murphy, CNN",The aurora borealis will be visible in parts of the US tonight,"Thanks to a minor geomagnetic storm, the northern lights may be visible in parts of the northern United States and across Canada on Wednesday night.",https://www.cnn.com/2019/11/20/us/aurora-borealis-wednesday-trnd-scn/index.html,2019-11-20T15:34:10Z,"(CNN)Thanks to a minor geomagnetic storm, the northern lights may be visible in parts of the northern United States and across Canada on Wednesday night.;According to NOAA's Space Weather Prediction Center, an explosion of solar energy from the sun is set to  [+766 chars]"
TechCrunch,Frederic Lardinois,Microsoft s HoloLens 2 starts shipping,"Earlier this year, at Mobile World Congress in Barcelona, Microsoft announced the second generation of its HoloLens augmented reality visor. Today, the $3,500 HoloLens 2 is going on sale in the United States, Japan, China, Germany, Canada, United Kingdom, Ire ",http://techcrunch.com/2019/11/07/microsofts-hololens-2-starts-shipping/,2019-11-07T13:00:49Z,"Earlier this year, at Mobile World Congress in Barcelona, Microsoft announced the second generation of its HoloLens augmented reality visor. Today, the $3,500 HoloLens 2 is going on sale in the United States, Japan, China, Germany, Canada, United Kingdom, Ire  [+1739 chars]"
TechCrunch,Greg Kumparak,"Disney+ will launch in the UK, Germany, Italy, France, and Spain in March 2020","Disney+ will launch in the US, Canada, and the Netherlands on November 12th, a bit shy of a week from today. On November 19th, it ll expand to Australia and New Zealand. But what about the rest of the world? Disney has kept a bit quiet about its plans for oth ",http://techcrunch.com/2019/11/07/disney-will-launch-in-the-uk-germany-italy-france-and-spain-in-march-2020/,2019-11-08T00:38:52Z,"Disney+ will launch in the US, Canada, and the Netherlands on November 12th, a bit shy of a week from today. On November 19th, it ll expand to Australia and New Zealand.;But what about the rest of the world?;Disney has kept a bit quiet about its plans for o  [+994 chars]"
TechCrunch,Anthony Ha,"Disney officially launches its streaming  crown jewel,  Disney+","The centerpiece of Disney s streaming strategy is here. After an initial test in the Netherlands, Disney+ is officially launching in the United States and Canada today, with a lineup of original content that includes the first episode of the very first live a ",http://techcrunch.com/2019/11/12/disneys-officially-launches-its-streaming-crown-jewel-disney/,2019-11-12T08:00:06Z,"The centerpiece of Disneys streaming strategy is here.;After an initial test in the Netherlands, Disney+ is officially launching in the United States and Canada today, with a lineup of original content that includes the first episode of the very first live a  [+5086 chars]"
TechCrunch,J.M. Donaldson,Extra Crunch members get free Zendesk for 6 months,"We re excited to announce a new Extra Crunch community perk from Zendesk. Starting today, annual and 2-year Extra Crunch members that are new to Zendesk and located within the US or Canada can receive a credit for six months of unlimited licenses for any comb ",http://techcrunch.com/2019/11/13/extra-crunch-members-get-free-zendesk-for-6-months/,2019-11-13T21:14:47Z,"Were excited to announce a new Extra Crunch community perk from Zendesk. Starting today, annual and 2-year Extra Crunch members that are new to Zendesk and located within the US or Canada can receive a credit for six months of unlimited licenses for any combi  [+3156 chars]"
BBC News,NaN,Emotional Bautista Agut wins in Davis Cup - three days after father dies,Roberto Bautista Agut puts Spain 1-0 ahead in their Davis Cup final against Canada with an emotional victory over Felix Auger-Aliassime in Madrid.,https://www.bbc.co.uk/sport/tennis/50539416,2019-11-24T18:07:17Z,"Roberto Bautista Agut spoke through tears after his victory, which came three days after the death of his father;Roberto Bautista Agut put Spain 1-0 ahead in their Davis Cup final against Canada with an emotional victory over Felix Auger-Aliassime in Madrid.  [+1463 chars]"
