User Name,Time,Tweet,User Location,Retweeted Count,Favorited Count,Replied
University,2019-11-04 21:07:16,"""We need a bold vision to develop and support a diverse and robust computing workforce. This begins with an investm  ","San Francisco, CA",0,0,NaN
LANMonkeyGC,2019-11-04 21:07:08,@BCAdvSmart @Revelstoke_BC @BCSARAssoc @avalancheca @paddlecanada @Safety_Canada @SARVAC_ACVRS @lifesavingBCYK Than  ,"Fraser Valley, British Columbi",0,0,1191458541178982400
POPFASD,2019-11-04 21:07:06,Enjoyed sharing @POPFASD FASDcasts with Cindy's two Education classes at the University of Victoria this morning! W  ,"Prince George, BC",0,0,NaN
trayyceeeee,2019-11-04 21:07:02,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Nigeria,164,0,NaN
somethinwickid,2019-11-04 21:06:41,RT @IndianAffairs: We'd like to thank the University of Denver for sponsoring our Repatriation Conference. This year's Conference is about ,United States,4,0,NaN
Winning45KAG,2019-11-04 21:06:37,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,NaN,24,0,NaN
syyeh3,2019-11-04 21:06:36,"RT @pttleopardcats: More FACT: in 2018, 1381 of PERM (Green Card) applicants obtained degrees from this BLACKLISTED UNIVERSITY. Guess they ",NaN,3,0,NaN
SRKGlobe,2019-11-04 21:05:44,RT @iamsrk: On the way to @latrobe University.. Thank you for the kind gesture of offering a scholarship to a girl student from India for h ,India,6750,0,NaN
CSPArch,2019-11-04 21:05:08,"CS&amp;P kicks off it's 2019 fundraiser today!;We are excited and proud to support the excellent program, EcoSchools Ca  ","Toronto, ON",0,1,NaN
Borgetti1,2019-11-04 21:04:39,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Lagos Nigeria,164,0,NaN
NigeriaMFA,2019-11-04 21:03:49,"The meeting discussed ways to improve Nigeria-Canada bilateral economic relations especially in the areas of trade,  ","Tafawa Balewa House, Abuja",0,0,1191460998751965184
dieb1948,2019-11-04 21:03:39,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,"Michigan, USA",24,0,NaN
Rev_Smeg,2019-11-04 21:03:16,RT @haleshannon: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s kil ,"Norman, Oklahoma",3,0,NaN
cannon_fodder99,2019-11-04 21:02:57,@GHSupport I've applied for jobs at companies that use your software.  One issue that is annoying is the list of Sc  ,NaN,0,0,NaN
Gilles_E_Petit,2019-11-04 21:02:51,"@JasonSaysStuph @AndrewScheer @ElizabethMay Lol, so you're one of those conspiracy theory believers. No, I am a Can  ","Winnipeg, Manitoba, Canada",0,0,1191442633907851264
DumpDotardDon,2019-11-04 21:01:34,"RT @Caseykins421: Are you fricking kidding me with this? Scheer violated repeatedly violated provision in Section 91, which criminalizes an ",NaN,7,0,NaN
CIVChef,2019-11-04 21:00:50,"RT @13NewsNow: ECPI University ranked number 1 for military members, veterans ","Norfolk, VA",3,0,NaN
Sondsajohn,2019-11-04 21:00:27,Free Education University - Is a 17 course curriculum that teaches you how to find the right financial opportunitie  ,USA,0,0,NaN
PreetiAdhikary,2019-11-04 21:00:18,The high demand for #AI #education is clear. How are countries preparing themselves? How is this affecting traditio  ,"Manhattan, NY",0,0,NaN
educationnewsca,2019-11-04 21:00:02,Visionary $10M donation to support a first-of-its-kind social innovation centre at Concordia University @Concordia  ,"Terrebonne, Qu bec",0,0,NaN
gtimes,2019-11-04 21:00:00,"Brenau currently has about 100 students from Anhui Normal University located in Wuhu, China. ","Gainesville, GA, USA",0,1,NaN
SharonJDavies,2019-11-04 20:59:32,RT @mwspur78: Are you a project manager with a passion for Higher Education? We have the perfect role for you at Swansea University - Senio ,"Swansea, South Wales",4,0,NaN
RichardWeilan16,2019-11-04 20:59:21,"@SenWarren Canada will take them, specifically Ontario! As long as they meet our net worth/ education  requirements!",Canada,0,0,1191444359490756609
shimddy,2019-11-04 20:58:53,@abcnews Private education is like private health. At the end of the day they both rely on the public system. And w  ,"Brisbane, Queensland",0,0,1191437500109033474
Zancett,2019-11-04 20:58:50,RT @wearenorth99: Canada's public services like healthcare and education are radically underfunded compared to other developed countries. h ,Alberta Canada,7,0,NaN
lizditz,2019-11-04 20:58:24,RT @haleshannon: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s kil ,"San Mateo County, California",3,0,NaN
CANeyeMDs,2019-11-04 20:58:21,The Canadian Ophthalmological Society delivers education to primary care providers across Canada around the importa  ,"Ottawa, Canada",0,0,NaN
elpie,2019-11-04 20:57:51,"Dear Vancouver, French is an official language of Canada. If you re too ignorant to understand that then it s you t  ",NaN,0,1,NaN
