User Name,Time,Tweet,User Location,Retweeted Count,Favorited Count,Replied
University,2019-11-04 21:07:16,"""We need a bold vision to develop and support a diverse and robust computing workforce. This begins with an investm  ","San Francisco, CA",0,0,NaN
LANMonkeyGC,2019-11-04 21:07:08,        Than  ,"Fraser Valley, British Columbi",0,0,1191458541178982400
POPFASD,2019-11-04 21:07:06,Enjoyed sharing  FASDcasts with Cindy's two Education classes at the University of Victoria this morning! W  ,"Prince George, BC",0,0,NaN
trayyceeeee,2019-11-04 21:07:02,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Nigeria,164,0,NaN
somethinwickid,2019-11-04 21:06:41,We'd like to thank the University of Denver for sponsoring our Repatriation Conference. This year's Conference is about ,United States,4,0,NaN
Winning45KAG,2019-11-04 21:06:37,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,NaN,24,0,NaN
syyeh3,2019-11-04 21:06:36,"More FACT: in 2018, 1381 of PERM (Green Card) applicants obtained degrees from this BLACKLISTED UNIVERSITY. Guess they ",NaN,3,0,NaN
SRKGlobe,2019-11-04 21:05:44,On the way to  University.. Thank you for the kind gesture of offering a scholarship to a girl student from India for h ,India,6750,0,NaN
CSPArch,2019-11-04 21:05:08,"CS&amp;P kicks off it's 2019 fundraiser today!;We are excited and proud to support the excellent program, EcoSchools Ca  ","Toronto, ON",0,1,NaN
Borgetti1,2019-11-04 21:04:39,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Lagos Nigeria,164,0,NaN
NigeriaMFA,2019-11-04 21:03:49,"The meeting discussed ways to improve Nigeria-Canada bilateral economic relations especially in the areas of trade,  ","Tafawa Balewa House, Abuja",0,0,1191460998751965184
dieb1948,2019-11-04 21:03:39,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,"Michigan, USA",24,0,NaN
Rev_Smeg,2019-11-04 21:03:16,How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s kil ,"Norman, Oklahoma",3,0,NaN
cannon_fodder99,2019-11-04 21:02:57, I've applied for jobs at companies that use your software.  One issue that is annoying is the list of Sc  ,NaN,0,0,NaN
Gilles_E_Petit,2019-11-04 21:02:51,"   Lol, so you're one of those conspiracy theory believers. No, I am a Can  ","Winnipeg, Manitoba, Canada",0,0,1191442633907851264
DumpDotardDon,2019-11-04 21:01:34,"Are you fricking kidding me with this? Scheer violated repeatedly violated provision in Section 91, which criminalizes an ",NaN,7,0,NaN
