Tweet,message,match,polarity,positives,negatives
1,Tweet,NA,neutral,0,0
2,"""We need a bold vision to develop and support a diverse and robust computing workforce. This begins with an investm  ","support, robust",positive,2,0
3,@BCAdvSmart @Revelstoke_BC @BCSARAssoc @avalancheca @paddlecanada @Safety_Canada @SARVAC_ACVRS @lifesavingBCYK Than  ,NA,neutral,0,0
4,Enjoyed sharing @POPFASD FASDcasts with Cindy's two Education classes at the University of Victoria this morning! W  ,enjoyed,positive,1,0
5,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
6,RT @IndianAffairs: We'd like to thank the University of Denver for sponsoring our Repatriation Conference. This year's Conference is about ,"like, thank",positive,2,0
7,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
8,"RT @pttleopardcats: More FACT: in 2018, 1381 of PERM (Green Card) applicants obtained degrees from this BLACKLISTED UNIVERSITY. Guess they ",NA,neutral,0,0
9,RT @iamsrk: On the way to @latrobe University.. Thank you for the kind gesture of offering a scholarship to a girl student from India for h ,thank,positive,1,0
10,"CS&amp;P kicks off it's 2019 fundraiser today!;We are excited and proud to support the excellent program, EcoSchools Ca  ","excited, proud, support, excellent",positive,4,0
11,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
12,"The meeting discussed ways to improve Nigeria-Canada bilateral economic relations especially in the areas of trade,  ",improve,positive,1,0
13,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
14,RT @haleshannon: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s kil ,NA,neutral,0,0
15,@GHSupport I've applied for jobs at companies that use your software.  One issue that is annoying is the list of Sc  ,"issue, annoying",negative,0,2
16,"@JasonSaysStuph @AndrewScheer @ElizabethMay Lol, so you're one of those conspiracy theory believers. No, I am a Can  ",conspiracy,negative,0,1
17,"RT @Caseykins421: Are you fricking kidding me with this? Scheer violated repeatedly violated provision in Section 91, which criminalizes an ",NA,neutral,0,0
18,"RT @13NewsNow: ECPI University ranked number 1 for military members, veterans ",NA,neutral,0,0
19,Free Education University - Is a 17 course curriculum that teaches you how to find the right financial opportunitie  ,"free, right",positive,2,0
20,The high demand for #AI #education is clear. How are countries preparing themselves? How is this affecting traditio  ,NA,neutral,0,0
21,Visionary $10M donation to support a first-of-its-kind social innovation centre at Concordia University @Concordia  ,"visionary, support, innovation",positive,3,0
22,"Brenau currently has about 100 students from Anhui Normal University located in Wuhu, China. ",NA,neutral,0,0
23,RT @mwspur78: Are you a project manager with a passion for Higher Education? We have the perfect role for you at Swansea University - Senio ,"passion, perfect",positive,2,0
24,"@SenWarren Canada will take them, specifically Ontario! As long as they meet our net worth/ education  requirements!",NA,neutral,0,0
25,@abcnews Private education is like private health. At the end of the day they both rely on the public system. And w  ,like,positive,1,0
26,RT @wearenorth99: Canada's public services like healthcare and education are radically underfunded compared to other developed countries. h ,"like, radically",neutral,1,1
27,RT @haleshannon: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s kil ,NA,neutral,0,0
28,The Canadian Ophthalmological Society delivers education to primary care providers across Canada around the importa  ,NA,neutral,0,0
29,"Dear Vancouver, French is an official language of Canada. If you re too ignorant to understand that then it s you t  ",ignorant,negative,0,1
30,"@TheTorontoSun Well, Andrew Scheer is no Elizabeth May. I think she has previous work experience and a university e  ",work,positive,1,0
31,"Studying abroad is a journey best measured in friends rather than miles because at the end, the advantage of having  ","best, advantage",positive,2,0
32,"RT @CourtneyLTanner: THREAD: For months, I ve been reporting for this article  requesting records, interviewing former staff + talking to s ",NA,neutral,0,0
33,The #Cameroon Minister of Higher Education has signed a communiqu  announcing the results of the entrance examinati  ,NA,neutral,0,0
34,"RT @Adam_SH69: The generous Tories are targeting poorer voters without university degrees who voted Brexit, by promising a  155 million boo ","generous, poorer, promising",positive,2,1
35,RT @profkeithdevlin: Coming up on 13 November at the University of Huddersfield. Register online (no charge)  ,NA,neutral,0,0
36,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
37,"@Tennessean it is everywhere downtown Nashville too, You really need to thank the night crew of @NashvillePW for re  ",thank,positive,1,0
38,"RT @HCWEMiami: ""Research demonstrates that the SAT and ACT systematically prevent talented and qualified students with less accumulated adv ","talented, qualified",positive,2,0
39,RT @haleshannon: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s kil ,NA,neutral,0,0
40,"RT @13NewsNow: ECPI University ranked number 1 for military members, veterans ",NA,neutral,0,0
41,"RT @HenricoCitizen: For the second straight year, ECPI University has been ranked number one in the nation among colleges and universities ",NA,neutral,0,0
42,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
43,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
44,"RT @byH_Leitenbauer: Mr. HUBERT LEITENBAUER #HubertLeitenbauer, #Snapshot;Founder &amp; Author #PranaEnergieTherapie ;Designer luxury#Spiritu ",NA,neutral,0,0
45,"Can you recommend anyone for this #Education job in #Fayetteville, NC? Click the link in our bio to see it and more  ",recommend,positive,1,0
46,"@MrBeastYT  I don t like doing this, but I m desperate, I am a full time student at Louisiana Tech University. I re  ",like,positive,1,0
47,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
48,How the University of Utah s police department treated female victims and officers for years before Lauren McCluske  ,NA,neutral,0,0
49,High school students watching the supreme court Canada live in the classroom. #scc #education ,supreme,positive,1,0
50,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
51,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
52,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
53,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
54,@JustinWootonSC @RealSteveCox @RD4Democracy @kishineff @RamonaMassachi @riverhawkfox @DanWhitCongress  ,NA,neutral,0,0
55,"RT @pttleopardcats: More FACT: in 2018, 1381 of PERM (Green Card) applicants obtained degrees from this BLACKLISTED UNIVERSITY. Guess they ",NA,neutral,0,0
56,Congrats to Midwest Speed 18U Black s Lexi Barduson on her verbal commitment to continue her education and softball  ,commitment,positive,1,0
57,"RT @CourtneyLTanner: THREAD: For months, I ve been reporting for this article  requesting records, interviewing former staff + talking to s ",NA,neutral,0,0
58,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
59,RT @rebekahallen: A @UTAustin student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,"died, retreat",negative,0,2
60,A blast from the past.  20 years ago last month @BrockUniversity re-named its College of Education building as  Rob  ,NA,neutral,0,0
61,"RT @pttleopardcats: More FACT: in 2018, 1381 of PERM (Green Card) applicants obtained degrees from this BLACKLISTED UNIVERSITY. Guess they ",NA,neutral,0,0
62,RT @PeelAdultCredit: THIS WEEK IN ADULT EDUCATION;Mon   Early Registration begins;Tues   Sit and Stretch Sabrina ;Wed -Improv fun and games ,fun,positive,1,0
63,RT @educationgadfly: How do we best help students who are several grade levels behind? It s vital question. But the very fact that it s a p ,best,positive,1,0
64,"More FACT: in 2018, 1381 of PERM (Green Card) applicants obtained degrees from this BLACKLISTED UNIVERSITY. Guess t  ",NA,neutral,0,0
65,"RT @EffatUniversity: At Effat, we promise to work together to promote our students  education and to share our resources with researchers a ","promise, work",positive,2,0
66,"@LaLegale In Denmark University students are paid $1000 a month and there are no fee's, totally subsidised. They co  ",NA,neutral,0,0
67,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
68,RT @TamaraMcCleary: World's First #AI University Has More Than 3200 Applicants Already   #education ,NA,neutral,0,0
69,@paulalexlewis @Natalia01Mateo @jamesholden007 Here's another option seeing as Canada is the most environmentally r  ,NA,neutral,0,0
70,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
71,"RT @EffatUniversity: At Effat, we promise to work together to promote our students  education and to share our resources with researchers a ","promise, work",positive,2,0
72,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
73,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
74,"Instead, we get stuff like a US private equity billionaire chucking  150m at a top UK university to do yet more ""AI  ","like, top",positive,2,0
75,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
76,RT @free_taheri: Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because of her ,"protest, denied",negative,0,2
77,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
78,RT @Skills_NL: Happy National Skilled Trades and Technology Week! We are excited for this big week of events and education. Take a peak at ,"happy, skilled, excited",positive,3,0
79,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
80,"RT @sammy_locke01: !!!! UNIVERSITY EDUCATION WILL NEVER BE FREE !!!!! ;;whether you vote Tory, labour, Lib Dem or whoever else, we will nev ",free,positive,1,0
81,RT @free_taheri: Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because of her ,"protest, denied",negative,0,2
82,"RT @Anniekidder: ""Education is the key to reconciliation...if we educate  Indigenous children and non-Indigenous children about each other ",NA,neutral,0,0
83,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
84,#Creation Scientists? | Christopher Oldcorn on #Patreon;;#blog #essay #religion #christianity #church #Genesis  ,NA,neutral,0,0
85,"UAMS has a unique combination of education, research and clinical expertise that promotes and supports teamwork and  ",supports,positive,1,0
86,Please RT &gt;&gt; Free Education University - How to graduate DEBT FREE! Get 75% off for a limited time!  Link in Bio ,"free, debt, limited",negative,1,2
87,"RT @RWPUSA: For-profit colleges (Corinthian Colleges, Trump University and more) are often a scam.  ;And Betsy DeVos blames the student vic ",trump,positive,1,0
88,"RT @vortex23: In low-income communities, high school dropout rates can reach 50%. So I just donated to Pathways to Education Canada because ",dropout,negative,0,1
89,Students have a 1/4 chance of being sexually assaulted on campus (1/3 at WVU). Faculty and staff can be fired for t  ,NA,neutral,0,0
90,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
91,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
92,"RT @rachelleingang: Indigenous UA students said Robbins remarked he didn't want to ""pull an Elizabeth Warren,"" but he took a DNA test that ",NA,neutral,0,0
93,@page88 IMO it is insular whiteness more than college education. However college can expose you to other races/cult  ,insular,negative,0,1
94,1. Brilliant International School Malumfashi.;2. Government Unity Secondary School Malumfashi. ;3. Isah Kaita Colle  ,"brilliant, unity",positive,2,0
95,Tbh I have immense respect for older taking university courses. Like yes pls normalize the idea that education is n  ,"immense, respect, like",positive,3,0
96,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
97,RT @theworldindex: The top 10 countries for future skills education;;1. Finland;2. Switzerland;3. New Zealand;4. Sweden;5. Canada ,top,positive,1,0
98,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
99,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
100, THANK YOU to Indiana University School of Social Work for becoming our Social Work Distance Education Conference  ,"thank, work",positive,3,0
