Word,Frequency,Nature
support,50,postitive
robust,1,postitive
enjoyed,6,postitive
like,112,postitive
thank,40,postitive
threats,25,negative
excited,27,postitive
proud,29,postitive
excellent,5,postitive
improve,10,postitive
issue,4,negative
annoying,1,negative
conspiracy,2,negative
free,123,postitive
right,30,postitive
visionary,2,postitive
innovation,8,postitive
passion,1,postitive
perfect,2,postitive
radically,6,negative
ignorant,1,negative
work,41,postitive
best,38,postitive
advantage,1,postitive
generous,3,postitive
poorer,3,negative
promising,6,postitive
talented,2,postitive
qualified,4,postitive
poor,44,negative
recommend,2,postitive
supreme,7,postitive
commitment,12,postitive
died,33,negative
retreat,26,negative
fun,3,postitive
promise,3,postitive
top,34,postitive
protest,13,negative
denied,10,negative
happy,20,postitive
skilled,1,postitive
supports,4,postitive
debt,10,negative
limited,9,negative
trump,83,postitive
dropout,1,negative
great,92,postitive
afford,45,postitive
insular,1,negative
brilliant,6,postitive
unity,1,postitive
immense,1,postitive
respect,2,postitive
excellence,20,postitive
cancer,1,negative
loss,1,negative
freedom,7,postitive
prison,5,negative
celebrated,2,postitive
variety,4,postitive
break,1,negative
broke,5,negative
shameless,1,negative
lie,2,negative
bereft,1,negative
delighted,5,postitive
lucky,2,postitive
debts,3,negative
failed,8,negative
discontinued,31,negative
renowned,7,postitive
leading,11,postitive
risk,8,negative
suffer,2,negative
inflated,1,negative
conservative,32,negative
likes,2,postitive
fraud,15,negative
sustainability,2,postitive
winning,2,postitive
stress,4,negative
celebrate,4,postitive
led,12,postitive
clearly,10,postitive
helping,1,postitive
magic,3,postitive
dying,8,negative
successful,2,postitive
smart,2,postitive
worth,16,postitive
fallen,2,negative
advanced,2,postitive
honor,4,postitive
drag,1,negative
favorite,4,postitive
fans,1,postitive
outbreak,2,negative
contagious,1,negative
virus,1,negative
vibrant,4,postitive
distinguished,3,postitive
good,25,postitive
oppose,1,negative
scrap,1,negative
suicide,1,negative
awesome,17,postitive
undermining,2,negative
favour,8,postitive
complain,3,negative
covenant,3,postitive
waste,2,negative
well,20,postitive
supporting,5,postitive
disregard,4,negative
popular,2,postitive
concerned,3,negative
ignorance,1,negative
lack,5,negative
weak,1,negative
promptly,4,postitive
burden,1,negative
glad,21,postitive
attraction,4,postitive
extraordinary,2,postitive
proves,2,postitive
easy,11,postitive
guarantee,1,postitive
warning,5,negative
scandal,4,negative
racism,3,negative
unfortunate,3,negative
recommendation,3,postitive
excel,2,postitive
